food_id,batch_id,source,source_food_id,name,category,source_url
FC001193,batch-1,FNRI,A077,"Chips, shrimp crackers","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3039
FC001194,batch-1,FNRI,A079,"Chips, squid crackers","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3041
FC001195,batch-1,FNRI,A099,"Cookies, sandwich type, choc-filled","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3061
FC001196,batch-1,FNRI,A100,"Cookies, sandwich type, cream-filled","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3062
FC001197,batch-1,FNRI,A102,"Cookies, wafer","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3064
FC001198,batch-1,FNRI,A105,"Corn pudding, w/ grtd coconut topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3067
FC001199,batch-1,FNRI,A107,"Corn pudding, maja, yellow w/ grtd coconut topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3069
FC001200,batch-1,FNRI,A119,"Curls, cheese flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3081
FC001201,batch-1,FNRI,A143,"Noodles, wheat, inst, w/ flvr, fortified","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3105
FC001202,batch-1,FNRI,A155,"Popcorn and peanuts, sweetn","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3117
FC001203,batch-1,FNRI,A158,"Pretzel, choc-coated","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3120
FC001204,batch-1,FNRI,A199,"Rice-bread prep, toasted, puto seko, w/ grtd coconut","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3161
FC001205,batch-1,FNRI,M002,"Candy bar, peanut",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4273
FC001206,batch-1,FNRI,M004,"Candy, custard",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4275
FC001207,batch-1,FNRI,M005,"Candy, hard",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4276
FC001208,batch-1,FNRI,M006,"Candy, milk choc",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4277
FC001209,batch-1,FNRI,M009,"Candy, toffee",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4280
FC001210,batch-1,FNRI,M012,Champoy,Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4283
FC001211,batch-1,FNRI,M033,Marshmallow,Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4304
FC001212,batch-1,FNRI,M038,Peanut brittle w/ sesame seed,Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4309
FC001213,batch-1,FNRI,M039,"Peanut, milk choc-coated",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4310
FC001214,batch-1,FNRI,M041,"Popsicle, choc flvr",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4312
FC001215,batch-1,FNRI,N030,Worcestershire sauce,Condiments,https://i.fnri.dost.gov.ph/fct/library/report/4353
